12:54:07 - [31merror[39m: uncaughtException: Cannot find module 'utils/logger' date=Thu May 15 2014 12:54:07 GMT+0530 (IST), pid=11538, uid=1000, gid=1000, cwd=/home/parin/programming/myscripter-extn/ms_baazar, execPath=/usr/bin/nodejs, version=v0.10.28, argv=[node, /home/parin/programming/myscripter-extn/ms_baazar/app], rss=31412224, heapTotal=29087488, heapUsed=9817976, loadavg=[0.626953125, 0.744140625, 0.7666015625], uptime=9005.323033933, trace=[column=15, file=module.js, function=Function.Module._resolveFilename, line=338, method=Module._resolveFilename, native=false, column=25, file=module.js, function=Function.Module._load, line=280, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=12, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=11, method=null, native=false, column=4, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=104, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false], stack=[Error: Cannot find module 'utils/logger',     at Function.Module._resolveFilename (module.js:338:15),     at Function.Module._load (module.js:280:25),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:11:12),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:104:4),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12)]
12:54:39 - [31merror[39m: uncaughtException: Cannot find module 'utils/logger' date=Thu May 15 2014 12:54:39 GMT+0530 (IST), pid=11572, uid=1000, gid=1000, cwd=/home/parin/programming/myscripter-extn/ms_baazar, execPath=/usr/bin/nodejs, version=v0.10.28, argv=[node, /home/parin/programming/myscripter-extn/ms_baazar/app], rss=31350784, heapTotal=29087488, heapUsed=9897472, loadavg=[0.8583984375, 0.78564453125, 0.7802734375], uptime=9037.163050441, trace=[column=15, file=module.js, function=Function.Module._resolveFilename, line=338, method=Module._resolveFilename, native=false, column=25, file=module.js, function=Function.Module._load, line=280, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=12, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=11, method=null, native=false, column=4, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=104, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false], stack=[Error: Cannot find module 'utils/logger',     at Function.Module._resolveFilename (module.js:338:15),     at Function.Module._load (module.js:280:25),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:11:12),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:104:4),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12)]
12:54:50 - [31merror[39m: uncaughtException: Cannot find module 'utils/logger' date=Thu May 15 2014 12:54:50 GMT+0530 (IST), pid=11604, uid=1000, gid=1000, cwd=/home/parin/programming/myscripter-extn/ms_baazar, execPath=/usr/bin/nodejs, version=v0.10.28, argv=[node, /home/parin/programming/myscripter-extn/ms_baazar/app], rss=31338496, heapTotal=29087488, heapUsed=9897352, loadavg=[0.8837890625, 0.7958984375, 0.783203125], uptime=9048.127274833, trace=[column=15, file=module.js, function=Function.Module._resolveFilename, line=338, method=Module._resolveFilename, native=false, column=25, file=module.js, function=Function.Module._load, line=280, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=12, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=11, method=null, native=false, column=4, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=104, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false], stack=[Error: Cannot find module 'utils/logger',     at Function.Module._resolveFilename (module.js:338:15),     at Function.Module._load (module.js:280:25),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:11:12),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:104:4),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12)]
12:54:58 - [31merror[39m: uncaughtException: Cannot find module 'utils/logger' date=Thu May 15 2014 12:54:58 GMT+0530 (IST), pid=11637, uid=1000, gid=1000, cwd=/home/parin/programming/myscripter-extn/ms_baazar, execPath=/usr/bin/nodejs, version=v0.10.28, argv=[node, /home/parin/programming/myscripter-extn/ms_baazar/app], rss=30814208, heapTotal=29087488, heapUsed=10252776, loadavg=[0.81298828125, 0.78271484375, 0.77880859375], uptime=9056.331467088, trace=[column=15, file=module.js, function=Function.Module._resolveFilename, line=338, method=Module._resolveFilename, native=false, column=25, file=module.js, function=Function.Module._load, line=280, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=12, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=11, method=null, native=false, column=4, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=104, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false], stack=[Error: Cannot find module 'utils/logger',     at Function.Module._resolveFilename (module.js:338:15),     at Function.Module._load (module.js:280:25),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:11:12),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:104:4),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12)]
12:55:10 - [31merror[39m: uncaughtException: Cannot find module 'utils/logger' date=Thu May 15 2014 12:55:10 GMT+0530 (IST), pid=11699, uid=1000, gid=1000, cwd=/home/parin/programming/myscripter-extn/ms_baazar, execPath=/usr/bin/nodejs, version=v0.10.28, argv=[node, /home/parin/programming/myscripter-extn/ms_baazar/app], rss=31690752, heapTotal=29087488, heapUsed=9824656, loadavg=[0.873046875, 0.7939453125, 0.7822265625], uptime=9068.408323615, trace=[column=15, file=module.js, function=Function.Module._resolveFilename, line=338, method=Module._resolveFilename, native=false, column=25, file=module.js, function=Function.Module._load, line=280, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=12, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=11, method=null, native=false, column=4, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=104, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false], stack=[Error: Cannot find module 'utils/logger',     at Function.Module._resolveFilename (module.js:338:15),     at Function.Module._load (module.js:280:25),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:11:12),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:104:4),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12)]
12:55:32 - [31merror[39m: uncaughtException: Cannot find module 'utils/logger' date=Thu May 15 2014 12:55:32 GMT+0530 (IST), pid=11754, uid=1000, gid=1000, cwd=/home/parin/programming/myscripter-extn/ms_baazar, execPath=/usr/bin/nodejs, version=v0.10.28, argv=[node, /home/parin/programming/myscripter-extn/ms_baazar/app], rss=30830592, heapTotal=29087488, heapUsed=10250744, loadavg=[0.6875, 0.75830078125, 0.77001953125], uptime=9089.782880519, trace=[column=15, file=module.js, function=Function.Module._resolveFilename, line=338, method=Module._resolveFilename, native=false, column=25, file=module.js, function=Function.Module._load, line=280, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=12, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=11, method=null, native=false, column=4, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=104, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false], stack=[Error: Cannot find module 'utils/logger',     at Function.Module._resolveFilename (module.js:338:15),     at Function.Module._load (module.js:280:25),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:11:12),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:104:4),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12)]
12:55:37 - [31merror[39m: uncaughtException: Cannot find module 'utils/logger' date=Thu May 15 2014 12:55:37 GMT+0530 (IST), pid=11788, uid=1000, gid=1000, cwd=/home/parin/programming/myscripter-extn/ms_baazar, execPath=/usr/bin/nodejs, version=v0.10.28, argv=[node, /home/parin/programming/myscripter-extn/ms_baazar/app], rss=30433280, heapTotal=28055552, heapUsed=10580336, loadavg=[0.63232421875, 0.74560546875, 0.76611328125], uptime=9095.468093639, trace=[column=15, file=module.js, function=Function.Module._resolveFilename, line=338, method=Module._resolveFilename, native=false, column=25, file=module.js, function=Function.Module._load, line=280, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=14, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=11, method=null, native=false, column=6, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=105, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false], stack=[Error: Cannot find module 'utils/logger',     at Function.Module._resolveFilename (module.js:338:15),     at Function.Module._load (module.js:280:25),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:11:14),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:105:6),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12)]
12:55:52 - [31merror[39m: uncaughtException: Cannot find module 'utils/logger' date=Thu May 15 2014 12:55:52 GMT+0530 (IST), pid=11821, uid=1000, gid=1000, cwd=/home/parin/programming/myscripter-extn/ms_baazar, execPath=/usr/bin/nodejs, version=v0.10.28, argv=[node, /home/parin/programming/myscripter-extn/ms_baazar/app], rss=31358976, heapTotal=30119424, heapUsed=9876672, loadavg=[1.5810546875, 0.95361328125, 0.833984375], uptime=9109.879133152, trace=[column=15, file=module.js, function=Function.Module._resolveFilename, line=338, method=Module._resolveFilename, native=false, column=25, file=module.js, function=Function.Module._load, line=280, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=12, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=11, method=null, native=false, column=4, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=104, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false], stack=[Error: Cannot find module 'utils/logger',     at Function.Module._resolveFilename (module.js:338:15),     at Function.Module._load (module.js:280:25),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:11:12),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:104:4),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12)]
12:55:57 - [31merror[39m: uncaughtException: Cannot find module 'utils/logger' date=Thu May 15 2014 12:55:57 GMT+0530 (IST), pid=11855, uid=1000, gid=1000, cwd=/home/parin/programming/myscripter-extn/ms_baazar, execPath=/usr/bin/nodejs, version=v0.10.28, argv=[node, /home/parin/programming/myscripter-extn/ms_baazar/app], rss=30822400, heapTotal=29087488, heapUsed=10255832, loadavg=[1.45458984375, 0.93798828125, 0.82958984375], uptime=9115.08063531, trace=[column=15, file=module.js, function=Function.Module._resolveFilename, line=338, method=Module._resolveFilename, native=false, column=25, file=module.js, function=Function.Module._load, line=280, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=14, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=11, method=null, native=false, column=6, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=105, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false], stack=[Error: Cannot find module 'utils/logger',     at Function.Module._resolveFilename (module.js:338:15),     at Function.Module._load (module.js:280:25),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:11:14),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:105:6),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12)]
12:56:44 - [31merror[39m: uncaughtException: Cannot find module 'utils/logger' date=Thu May 15 2014 12:56:44 GMT+0530 (IST), pid=11890, uid=1000, gid=1000, cwd=/home/parin/programming/myscripter-extn/ms_baazar, execPath=/usr/bin/nodejs, version=v0.10.28, argv=[node, /home/parin/programming/myscripter-extn/ms_baazar/app], rss=31395840, heapTotal=29087488, heapUsed=9815272, loadavg=[0.791015625, 0.8271484375, 0.79638671875], uptime=9162.411660256, trace=[column=15, file=module.js, function=Function.Module._resolveFilename, line=338, method=Module._resolveFilename, native=false, column=25, file=module.js, function=Function.Module._load, line=280, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=12, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=11, method=null, native=false, column=4, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=104, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false], stack=[Error: Cannot find module 'utils/logger',     at Function.Module._resolveFilename (module.js:338:15),     at Function.Module._load (module.js:280:25),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:11:12),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:104:4),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12)]
12:56:48 - [31merror[39m: uncaughtException: Cannot find module 'utils/logger' date=Thu May 15 2014 12:56:48 GMT+0530 (IST), pid=11925, uid=1000, gid=1000, cwd=/home/parin/programming/myscripter-extn/ms_baazar, execPath=/usr/bin/nodejs, version=v0.10.28, argv=[node, /home/parin/programming/myscripter-extn/ms_baazar/app], rss=30818304, heapTotal=29087488, heapUsed=10255304, loadavg=[0.791015625, 0.8271484375, 0.79638671875], uptime=9166.575103155, trace=[column=15, file=module.js, function=Function.Module._resolveFilename, line=338, method=Module._resolveFilename, native=false, column=25, file=module.js, function=Function.Module._load, line=280, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=14, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=11, method=null, native=false, column=6, file=/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js, function=, line=105, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false], stack=[Error: Cannot find module 'utils/logger',     at Function.Module._resolveFilename (module.js:338:15),     at Function.Module._load (module.js:280:25),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:11:14),     at Object.<anonymous> (/home/parin/programming/myscripter-extn/ms_baazar/controllers/recipe.js:105:6),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12)]
